Complexity,Loss,Equation
1,0.00047952245,"x0"
3,8.2515704e-5,"x0 + -0.01992664"
5,2.3522021e-5,"(x0 + -0.13150173) * 1.0030552"
7,2.1648759e-5,"((x0 * 0.00010166272) + 0.9957124) * x0"
9,1.936256e-5,"((x0 * 0.00039170144) + 0.9744612) * (x0 + 0.39182693)"
11,1.8834777e-5,"((x0 * (-0.00064293755 + (x0 * 1.0220073e-5))) + 1.0092106) * x0"
13,1.8799707e-5,"((1.0084578 + (x0 * -0.00060173916)) + (x0 * (9.6587155e-6 * x0))) * x0"
15,1.6158154e-5,"(((x0 * -0.005817599) + 1.1949513) + ((x0 * 5.7286932e-5) * x0)) * (x0 + -2.052341)"
17,1.1834324e-5,"(x0 + (-5.1098967 - -0.49692753)) * ((x0 * -0.015744649) + ((0.00015456631 * (x0 * x0)) + 1.5127003))"
23,9.195539e-6,"(((x0 + -7.5500083) / x0) * (((((x0 * 0.00029777945) * x0) + ((x0 * -0.029518938) + 1.9008704)) * x0) + 0.90911)) - -0.431823"
